primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_66998,ctg7180000066998,OXYTRI_MIC_66998,ARYC01000001,ARYC01000001.1,66998
OXYTRI_MIC_66999,ctg7180000066999,OXYTRI_MIC_66999,ARYC01000002,ARYC01000002.1,66999
OXYTRI_MIC_67001,ctg7180000067001,OXYTRI_MIC_67001,ARYC01000003,ARYC01000003.1,67001
OXYTRI_MIC_67017,ctg7180000067017,OXYTRI_MIC_67017,ARYC01000004,ARYC01000004.1,67017
OXYTRI_MIC_67018,ctg7180000067018,OXYTRI_MIC_67018,ARYC01000005,ARYC01000005.1,67018
OXYTRI_MIC_67019,ctg7180000067019,OXYTRI_MIC_67019,ARYC01000006,ARYC01000006.1,67019
OXYTRI_MIC_67021,ctg7180000067021,OXYTRI_MIC_67021,ARYC01000007,ARYC01000007.1,67021
OXYTRI_MIC_67024,ctg7180000067024,OXYTRI_MIC_67024,ARYC01000008,ARYC01000008.1,67024
OXYTRI_MIC_67027,ctg7180000067027,OXYTRI_MIC_67027,ARYC01000009,ARYC01000009.1,67027
OXYTRI_MIC_67028,ctg7180000067028,OXYTRI_MIC_67028,ARYC01000010,ARYC01000010.1,67028
OXYTRI_MIC_67030,ctg7180000067030,OXYTRI_MIC_67030,ARYC01000011,ARYC01000011.1,67030
OXYTRI_MIC_67031,ctg7180000067031,OXYTRI_MIC_67031,ARYC01000012,ARYC01000012.1,67031
OXYTRI_MIC_67033,ctg7180000067033,OXYTRI_MIC_67033,ARYC01000013,ARYC01000013.1,67033
OXYTRI_MIC_67034,ctg7180000067034,OXYTRI_MIC_67034,ARYC01000014,ARYC01000014.1,67034
OXYTRI_MIC_67044,ctg7180000067044,OXYTRI_MIC_67044,ARYC01000015,ARYC01000015.1,67044
OXYTRI_MIC_67046,ctg7180000067046,OXYTRI_MIC_67046,ARYC01000016,ARYC01000016.1,67046
OXYTRI_MIC_67051,ctg7180000067051,OXYTRI_MIC_67051,ARYC01000017,ARYC01000017.1,67051
OXYTRI_MIC_67053,ctg7180000067053,OXYTRI_MIC_67053,ARYC01000018,ARYC01000018.1,67053
OXYTRI_MIC_67057,ctg7180000067057,OXYTRI_MIC_67057,ARYC01000019,ARYC01000019.1,67057
OXYTRI_MIC_67062,ctg7180000067062,OXYTRI_MIC_67062,ARYC01000020,ARYC01000020.1,67062
OXYTRI_MIC_67071,ctg7180000067071,OXYTRI_MIC_67071,ARYC01000021,ARYC01000021.1,67071
OXYTRI_MIC_67074,ctg7180000067074,OXYTRI_MIC_67074,ARYC01000022,ARYC01000022.1,67074
OXYTRI_MIC_67075,ctg7180000067075,OXYTRI_MIC_67075,ARYC01000023,ARYC01000023.1,67075
OXYTRI_MIC_67076,ctg7180000067076,OXYTRI_MIC_67076,ARYC01000024,ARYC01000024.1,67076
