primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig20667.0,Contig20667.0,20667.0,OXYTRI_MAC_20667
Contig20666.0,Contig20666.0,20666.0,OXYTRI_MAC_20666
Contig18459.0,Contig18459.0,18459.0,OXYTRI_MAC_18459
Contig18458.0,Contig18458.0,18458.0,OXYTRI_MAC_18458
Contig18451.0,Contig18451.0,18451.0,OXYTRI_MAC_18451
Contig18450.0,Contig18450.0,18450.0,OXYTRI_MAC_18450
Contig18453.0,Contig18453.0,18453.0,OXYTRI_MAC_18453
Contig18452.0,Contig18452.0,18452.0,OXYTRI_MAC_18452
Contig18455.0,Contig18455.0,18455.0,OXYTRI_MAC_18455
Contig18454.0,Contig18454.0,18454.0,OXYTRI_MAC_18454
Contig18457.0,Contig18457.0,18457.0,OXYTRI_MAC_18457
Contig18456.0,Contig18456.0,18456.0,OXYTRI_MAC_18456
Contig15298.0,Contig15298.0,15298.0,OXYTRI_MAC_15298
Contig15299.0,Contig15299.0,15299.0,OXYTRI_MAC_15299
Contig10668.0,Contig10668.0,10668.0,OXYTRI_MAC_10668
Contig10669.0.3,Contig10669.0.3,10669.0.3,OXYTRI_MAC_10669
Contig10666.0,Contig10666.0,10666.0,OXYTRI_MAC_10666
Contig10667.0.1,Contig10667.0.1,10667.0.1,OXYTRI_MAC_10667
Contig10664.0,Contig10664.0,10664.0,OXYTRI_MAC_10664
Contig10665.0,Contig10665.0,10665.0,OXYTRI_MAC_10665
Contig10662.0,Contig10662.0,10662.0,OXYTRI_MAC_10662
Contig10663.0,Contig10663.0,10663.0,OXYTRI_MAC_10663
Contig10660.0,Contig10660.0,10660.0,OXYTRI_MAC_10660
Contig10661.0,Contig10661.0,10661.0,OXYTRI_MAC_10661
Contig11139.0,Contig11139.0,11139.0,OXYTRI_MAC_11139
Contig11138.0,Contig11138.0,11138.0,OXYTRI_MAC_11138
Contig11134.0,Contig11134.0,11134.0,OXYTRI_MAC_11134
Contig11136.0,Contig11136.0,11136.0,OXYTRI_MAC_11136
Contig11131.0,Contig11131.0,11131.0,OXYTRI_MAC_11131
Contig11130.0,Contig11130.0,11130.0,OXYTRI_MAC_11130
Contig11132.0,Contig11132.0,11132.0,OXYTRI_MAC_11132
Contig8008.0,Contig8008.0,8008.0,OXYTRI_MAC_8008
Contig8009.0,Contig8009.0,8009.0,OXYTRI_MAC_8009
Contig8006.0.0,Contig8006.0.0,8006.0.0,OXYTRI_MAC_8006
