primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig1.0,Contig1.0,AMCR02000001,AMCR02000001.1,1.0,OXYTRI_MAC_1
Contig1.0i1,Contig1.0i1,AMCR02000002,AMCR02000002.1,1.0i1,
Contig1.0i1v1,Contig1.0i1v1,AMCR02000003,AMCR02000003.1,1.0i1v1,
Contig1.1,Contig1.1,AMCR02000004,AMCR02000004.1,1.1,OXYTRI_MAC_24234
Contig1.1i1,Contig1.1i1,AMCR02000005,AMCR02000005.1,1.1i1,
Contig2.0,Contig2.0,AMCR02000006,AMCR02000006.1,2.0,OXYTRI_MAC_2
Contig3.0,Contig3.0,AMCR02000007,AMCR02000007.1,3.0,OXYTRI_MAC_3
Contig3.0v1,Contig3.0v1,AMCR02000008,AMCR02000008.1,3.0v1,
Contig3.1,Contig3.1,AMCR02000009,AMCR02000009.1,3.1,OXYTRI_MAC_25871
Contig3.1i1,Contig3.1i1,AMCR02000010,AMCR02000010.1,3.1i1,
Contig3.1i1v2,Contig3.1i1v2,AMCR02000011,AMCR02000011.1,3.1i1v2,
Contig3.1i1v3,Contig3.1i1v3,AMCR02000012,AMCR02000012.1,3.1i1v3,
Contig4.0,Contig4.0,AMCR02000013,AMCR02000013.1,4.0,OXYTRI_MAC_4
Contig4.0v1,Contig4.0v1,AMCR02000014,AMCR02000014.1,4.0v1,
Contig4.1,Contig4.1,AMCR02000015,AMCR02000015.1,4.1,OXYTRI_MAC_25959
Contig4.1i1,Contig4.1i1,AMCR02000016,AMCR02000016.1,4.1i1,
Contig5.0,Contig5.0,AMCR02000017,AMCR02000017.1,5.0,OXYTRI_MAC_5
Contig5.1,Contig5.1,AMCR02000018,AMCR02000018.1,5.1,OXYTRI_MAC_26033
Contig6.0,Contig6.0,AMCR02000019,AMCR02000019.1,6.0,OXYTRI_MAC_6
Contig6.0i1,Contig6.0i1,AMCR02000020,AMCR02000020.1,6.0i1,
Contig6.0i2,Contig6.0i2,AMCR02000021,AMCR02000021.1,6.0i2,
Contig6.1,Contig6.1,AMCR02000022,AMCR02000022.1,6.1,OXYTRI_MAC_26119
Contig6.1i1,Contig6.1i1,AMCR02000023,AMCR02000023.1,6.1i1,
Contig7.1,Contig7.1,AMCR02000024,AMCR02000024.1,7.1,OXYTRI_MAC_26209
Contig7.1i1,Contig7.1i1,AMCR02000025,AMCR02000025.1,7.1i1,
Contig7.1i2,Contig7.1i2,AMCR02000026,AMCR02000026.1,7.1i2,
Contig8.0,Contig8.0,AMCR02000027,AMCR02000027.1,8.0,OXYTRI_MAC_8
Contig8.0i1,Contig8.0i1,AMCR02000028,AMCR02000028.1,8.0i1,
Contig8.0i1v1,Contig8.0i1v1,AMCR02000029,AMCR02000029.1,8.0i1v1,
Contig8.1,Contig8.1,AMCR02000030,AMCR02000030.1,8.1,OXYTRI_MAC_26288
Contig8.1i1,Contig8.1i1,AMCR02000031,AMCR02000031.1,8.1i1,
Contig9.0,Contig9.0,AMCR02000032,AMCR02000032.1,9.0,OXYTRI_MAC_9
Contig9.0i1,Contig9.0i1,AMCR02000033,AMCR02000033.1,9.0i1,
Contig9.1,Contig9.1,AMCR02000034,AMCR02000034.1,9.1,OXYTRI_MAC_26352
Contig9.1v1,Contig9.1v1,AMCR02000035,AMCR02000035.1,9.1v1,
Contig10.0,Contig10.0,AMCR02000036,AMCR02000036.1,10.0,OXYTRI_MAC_10
Contig10.0i1,Contig10.0i1,AMCR02000037,AMCR02000037.1,10.0i1,
Contig10.1,Contig10.1,AMCR02000038,AMCR02000038.1,10.1,OXYTRI_MAC_24235
Contig10.1i1,Contig10.1i1,AMCR02000039,AMCR02000039.1,10.1i1,
Contig11.0.0,Contig11.0.0,AMCR02000040,AMCR02000040.1,11.0.0,OXYTRI_MAC_11
Contig11.0.0v1,Contig11.0.0v1,AMCR02000041,AMCR02000041.1,11.0.0v1,
Contig11.0.0v2,Contig11.0.0v2,AMCR02000042,AMCR02000042.1,11.0.0v2,
Contig11.0.0i1,Contig11.0.0i1,AMCR02000043,AMCR02000043.1,11.0.0i1,
Contig11.1,Contig11.1,AMCR02000044,AMCR02000044.1,11.1,OXYTRI_MAC_24315
Contig11.1i2,Contig11.1i2,AMCR02000045,AMCR02000045.1,11.1i2,
Contig11.1i1,Contig11.1i1,AMCR02000046,AMCR02000046.1,11.1i1,
Contig12.0,Contig12.0,AMCR02000047,AMCR02000047.1,12.0,OXYTRI_MAC_12
Contig12.0i1,Contig12.0i1,AMCR02000048,AMCR02000048.1,12.0i1,
Contig12.0i1v1,Contig12.0i1v1,AMCR02000049,AMCR02000049.1,12.0i1v1,
Contig12.0i2,Contig12.0i2,AMCR02000050,AMCR02000050.1,12.0i2,
Contig12.0i3,Contig12.0i3,AMCR02000051,AMCR02000051.1,12.0i3,
Contig13.0,Contig13.0,AMCR02000052,AMCR02000052.1,13.0,OXYTRI_MAC_13
Contig13.1,Contig13.1,AMCR02000053,AMCR02000053.1,13.1,OXYTRI_MAC_24483
Contig13.1i1,Contig13.1i1,AMCR02000054,AMCR02000054.1,13.1i1,
Contig14.0,Contig14.0,AMCR02000055,AMCR02000055.1,14.0,OXYTRI_MAC_14
