name,variant
Contig1.0,"Contig1.0,Contig1.0i1,Contig1.0i1v1"
Contig1.0i1,"Contig1.0,Contig1.0i1,Contig1.0i1v1"
Contig1.0i1v1,"Contig1.0,Contig1.0i1,Contig1.0i1v1"
Contig1.1,"Contig1.1,Contig1.1i1"
Contig1.1i1,"Contig1.1,Contig1.1i1"
Contig2.0,Contig2.0
Contig3.0,"Contig3.0,Contig3.0v1"
Contig3.0v1,"Contig3.0,Contig3.0v1"
Contig3.1,"Contig3.1,Contig3.1i1,Contig3.1i1v2,Contig3.1i1v3"
Contig3.1i1,"Contig3.1,Contig3.1i1,Contig3.1i1v2,Contig3.1i1v3"
Contig3.1i1v2,"Contig3.1,Contig3.1i1,Contig3.1i1v2,Contig3.1i1v3"
Contig3.1i1v3,"Contig3.1,Contig3.1i1,Contig3.1i1v2,Contig3.1i1v3"
Contig4.0,"Contig4.0,Contig4.0v1"
Contig4.0v1,"Contig4.0,Contig4.0v1"
Contig4.1,"Contig4.1,Contig4.1i1"
Contig4.1i1,"Contig4.1,Contig4.1i1"
Contig5.0,Contig5.0
Contig5.1,Contig5.1
Contig6.0,"Contig6.0,Contig6.0i1,Contig6.0i2"
Contig6.0i1,"Contig6.0,Contig6.0i1,Contig6.0i2"
Contig6.0i2,"Contig6.0,Contig6.0i1,Contig6.0i2"
Contig6.1,"Contig6.1,Contig6.1i1"
Contig6.1i1,"Contig6.1,Contig6.1i1"
Contig7.1,"Contig7.1,Contig7.1i1,Contig7.1i2"
Contig7.1i1,"Contig7.1,Contig7.1i1,Contig7.1i2"
Contig7.1i2,"Contig7.1,Contig7.1i1,Contig7.1i2"
Contig8.0,"Contig8.0,Contig8.0i1,Contig8.0i1v1"
Contig8.0i1,"Contig8.0,Contig8.0i1,Contig8.0i1v1"
Contig8.0i1v1,"Contig8.0,Contig8.0i1,Contig8.0i1v1"
Contig8.1,"Contig8.1,Contig8.1i1"
Contig8.1i1,"Contig8.1,Contig8.1i1"
Contig9.0,"Contig9.0,Contig9.0i1"
Contig9.0i1,"Contig9.0,Contig9.0i1"
Contig9.1,"Contig9.1,Contig9.1v1"
Contig9.1v1,"Contig9.1,Contig9.1v1"
Contig10.0,"Contig10.0,Contig10.0i1"
Contig10.0i1,"Contig10.0,Contig10.0i1"
Contig10.1,"Contig10.1,Contig10.1i1"
Contig10.1i1,"Contig10.1,Contig10.1i1"
Contig11.0.0,"Contig11.0.0,Contig11.0.0v1,Contig11.0.0v2,Contig11.0.0i1"
