primary,oxydb_mac_gene_2020
g40060,g40060
g14612,g14612
g14604,g14604
g18805,g18805
g18806,g18806
g1509,g1509
g1510,g1510
g38633,g38633
g14949,g14949
g10617,g10617
g46094,g46094
g46095,g46095
g35004,g35004
g35010,g35010
g35024,g35024
g3556,g3556
g28242,g28242
g41715,g41715
g31965,g31965
g4290,g4290
g31955,g31955
g31956,g31956
g47359,g47359
g47360,g47360
g47361,g47361
g9495,g9495
g9496,g9496
g9485,g9485
g9486,g9486
g43184,g43184
g31170,g31170
g43128,g43128
g37911,g37911
g44914,g44914
g12686,g12686
g29739,g29739
g45394,g45394
g45395,g45395
g45396,g45396
g45397,g45397
g45398,g45398
g13756,g13756
g13757,g13757
g13758,g13758
g13759,g13759
g13760,g13760
g48171,g48171
g30641,g30641
g30766,g30766
g6266,g6266
g42626,g42626
g32305,g32305
g32306,g32306
g39652,g39652
g6340,g6340
g21366,g21366
g21358,g21358
g21362,g21362
g2306,g2306
g39066,g39066
g31019,g31019
g45600,g45600
g42331,g42331
g42332,g42332
g42333,g42333
g16607,g16607
g16608,g16608
g16609,g16609
g15063,g15063
g15064,g15064
g15065,g15065
g16629,g16629
g16630,g16630
g16631,g16631
g16634,g16634
g43112,g43112
g19385,g19385
g19403,g19403
g11429,g11429
g10829,g10829
g10830,g10830
g17956,g17956
g17957,g17957
g11325,g11325
g11313,g11313
g17941,g17941
g11336,g11336
g45313,g45313
g9772,g9772
g29464,g29464
g29470,g29470
g27763,g27763
g44070,g44070
g24380,g24380
g24381,g24381
g24382,g24382
g21818,g21818
g21819,g21819
g21820,g21820
g42843,g42843
g42844,g42844
g11650,g11650
g11651,g11651
g22843,g22843
g22844,g22844
g15903,g15903
g37164,g37164
g46804,g46804
g32572,g32572
g32573,g32573
g32574,g32574
g32575,g32575
g39246,g39246
g23728,g23728
g44097,g44097
g44098,g44098
g32531,g32531
g29866,g29866
g28316,g28316
g28317,g28317
g28318,g28318
g40707,g40707
g14343,g14343
g14344,g14344
g14345,g14345
g3464,g3464
g3465,g3465
g3466,g3466
g3473,g3473
g3474,g3474
g3475,g3475
g3190,g3190
g47327,g47327
g47328,g47328
g47329,g47329
g29069,g29069
g13009,g13009
g43007,g43007
g41681,g41681
g35174,g35174
g35175,g35175
g37618,g37618
g37619,g37619
g37620,g37620
g23991,g23991
g23992,g23992
g23993,g23993
g23981,g23981
g23982,g23982
g19357,g19357
g19358,g19358
g43793,g43793
g6130,g6130
g18026,g18026
g18019,g18019
g18015,g18015
g633,g633
g6036,g6036
g37640,g37640
g37641,g37641
g24010,g24010
g24011,g24011
g4306,g4306
g24781,g24781
g27649,g27649
g34012,g34012
g28472,g28472
g40119,g40119
g49,g49
g28976,g28976
g28977,g28977
g31747,g31747
g957,g957
g24555,g24555
g37231,g37231
g37232,g37232
g33754,g33754
g33755,g33755
g33756,g33756
g33757,g33757
g25108,g25108
g25109,g25109
g26924,g26924
g26925,g26925
g39991,g39991
g39992,g39992
g46561,g46561
g46562,g46562
g13400,g13400
g8355,g8355
g13391,g13391
g16601,g16601
g16602,g16602
g34034,g34034
g34035,g34035
g13840,g13840
g13841,g13841
g19784,g19784
g30500,g30500
g12722,g12722
g12723,g12723
g17804,g17804
g17805,g17805
g17806,g17806
g38244,g38244
g47487,g47487
g6382,g6382
g44025,g44025
g33041,g33041
g7546,g7546
g12072,g12072
g23015,g23015
g29680,g29680
g14307,g14307
g9294,g9294
g14298,g14298
g24851,g24851
g39237,g39237
g42988,g42988
g42989,g42989
g18759,g18759
g717,g717
g730,g730
g22547,g22547
g10196,g10196
g44810,g44810
g44811,g44811
g5384,g5384
g23255,g23255
g45680,g45680
g12951,g12951
g25444,g25444
g27299,g27299
g40378,g40378
g33359,g33359
g11661,g11661
g15837,g15837
g15955,g15955
g15956,g15956
g4412,g4412
g4413,g4413
g15966,g15966
g15968,g15968
g15962,g15962
g18709,g18709
g678,g678
g45449,g45449
g9544,g9544
g9545,g9545
g9546,g9546
g33660,g33660
g33661,g33661
g33662,g33662
g45046,g45046
g14271,g14271
g22381,g22381
g15708,g15708
g15709,g15709
g546,g546
g547,g547
g28475,g28475
g35228,g35228
g34845,g34845
g26532,g26532
g41322,g41322
g11539,g11539
g11549,g11549
g36474,g36474
g36475,g36475
g36476,g36476
g5557,g5557
g36764,g36764
g36772,g36772
g6042,g6042
